"Person H-ID",Nom
3366,"Olier Mordrel"
3386,"U Taveracciu"
3410,"B. A."
3419,"U Merlu d'Aiacciu|Luigi Cossu"
3503,"Abbé Ferracci"
3534,"Un prêtre corsiste"
3562,"L. Santoni"
3573,"Ghiuvanni Luccarotti"
3587,"Ceccè Alfonsi"
3593,"U Cane di Mertinu"
3633,"Mario Felice Peraldi"
3695,"Egomet|Roccu Mattei"
3704,"Alia Bianchi"
3717,"Teseu Santini"
3732,Pinzuti
3734,"Monte Cintu"
3739,"Comte Peraldi"
3748,"Jan Teck"
3776,"U Duganere"
3800,"Gaetano Bonifacio"
3815,"Sambucucciu di Casinca"
3819,"Michele Ruglianu"
3829,"A Macchia di Curà"
3857,"Benito Mussolini"
3870,"J. R."
3896,Dell'Andrea
3898,"Luigi Pescetti"
3981,Niquet
4018,"U cavalieru di l'Ottu"
4072,"Luigi di u Benedettu"
4084,"B. Santucci"
4108,"Prete Carlu"
4134,"Ugo della Rocca"
4192,"Petru Massoni"
4207,L'Addisperatu
4225,"Giorgiaggi di Cuttoli"
4227,"Ciccio Accardo"
4250,"Roger Palmieri|Santu Guglielmi|Prete Guglielmi d'Orezza|Ruggeru Palmieri"
4256,"Ghiaseppu di u Poghiu"
4276,"U Puvarellu"
4347,"Pasquale de Paoli"
4385,Santucciu
4387,"G. V."
4405,"G. de Marsilly"
4495,"Maria Saveria Rocca-Pozzo di Borgo"
4537,"Dominique Frassati"
4585,"S. Corneglia Tramoni"
4600,"Vincenzio Barducci"
4620,Ronargue
4633,"Francesco Giammari"
4638,"J. Moretti"
4641,"Domenico Policardi"
4642,"Innocenzo Chiesa"
4750,"P. L. Michetti|P. L. Marchetti"
4775,Alinari
4839,"U crussinese (?)"
4918,"F. Franceschetti"
4928,"G. Marion"
4941,"A. N."
4950,"Neville Chamberlain"
4971,"Albert Lebrun"
4975,"B. Loreto"
5001,"P. L. Morelli"
5014,"A.G. Martini"
5028,"A.L. Paoli"
5036,"M. le Morvan"
5048,"U cacciadore"
5050,"H. Reinman"
