,filename,author,G.dilaGrotta,L'Orsud'Orezza,MartinuAppinzapalu,PetruRocca
23,Altore_N333_A9_co_art.txt,PetruRocca,-0.44940787862607096,-0.7871824863114512,-0.6635533674271819,-0.0845585406893043
24,Altore_N334_A9_co_let.txt,MartinuAppinzapalu,-0.6472643150707215,-0.5852408157457829,-0.3606053476175541,-0.3803968013426383
25,Altore_N338_A9_co_art.txt,L'Orsud'Orezza,-0.6395206742016101,-0.27001098554913844,-0.6512412579570237,-0.41504878870650264
26,Altore_N346_A10_co_art.txt,PetruRocca,-0.6787394092057978,-0.5846578344562321,-0.5930608306064448,-0.12076875491988315
27,Altore_N347_A10_co_art.txt,PetruRocca,-0.6671760012159699,-0.7127276394652313,-0.7991650602890801,0.20118104182752994
28,Altore_N348_A10_co_art.txt,PetruRocca,-0.9401839316346136,-0.7216929488997781,-1.1366684629866524,0.8289376567292505
29,Altore_N351_A10_co_art.txt,PetruRocca,-0.966316625629686,-0.6030521925412073,-0.5063436562353774,0.08771504343345327
30,Altore_N352_A10_co_let.txt,PetruRocca,-0.9242066583656372,-0.27544497982057853,-0.8793004571477895,0.09741568170899073
31,Altore_N356_A10_co_let.txt,MartinuAppinzapalu,-0.5711246449596589,-0.7396584131888866,-0.16423930623705263,-0.4909074681518813
32,Altore_N357_A10_co_art.txt,PetruRocca,-0.8194453846712082,-1.0585857722250736,-0.5719859708042596,0.46917565545517803
33,Altore_N359_A10_co_let.txt,PetruRocca,-0.4646658715235442,-0.9904607561072599,-0.9609019651408748,0.45016011509194653
34,Altore_N367_A10_co_art.txt,PetruRocca,-0.8388790173871539,-0.35523492602074486,-0.8129827932088969,0.016850122605926998
35,Altore_N368_A10_co_let.txt,L'Orsud'Orezza,-0.7867778864352116,-0.3662309777677679,-0.39630564876546215,-0.41929810403347384
36,Altore_N370_A10_co_art.txt,PetruRocca,-0.9796161691731492,-0.6948175953402695,-1.1010681697932174,0.7975233199030655
37,Altore_N372_A10_co_let.txt,MartinuAppinzapalu,-0.7984939532731518,-0.465552719324831,-0.3209539598126393,-0.3887565713800891
38,Altore_N374_A10_co_let.txt,PetruRocca,-0.5395483336271661,-1.0351199692412525,-0.21612068239678645,-0.1841311043134008
39,Altore_N375_A10_co_art.txt,PetruRocca,-0.3801183990623705,-0.48133066740989816,-1.1997294221917336,0.08232032537220901
40,Altore_N378_A10_co_let.txt,PetruRocca,-0.7605745552743168,-0.6402712860547985,-0.5995454943676406,0.02450413077207947
41,Altore_N386_A11_co_let.txt,PetruRocca,-1.0436591321565258,0.0032187707387834052,-0.9713877407619051,0.04070032849623484
42,Altore_N390_A11_co_art.txt,MartinuAppinzapalu,-0.7547494467576938,-0.3510976349543946,-0.30134837188617514,-0.577630201775001
43,Altore_N395_A11_co_let.txt,PetruRocca,-0.5631256684866073,-0.5085193388212106,-0.6577598078137661,-0.24945679006986743
44,Altore_N397_A11_co_art.txt,PetruRocca,-0.38203002446575307,-0.6561995417776294,-0.7840239124489006,-0.16024541449846524
45,Altore_N398_A11_co_art.txt,MartinuAppinzapalu,-0.7851272933981406,-0.821296832715569,-0.1776898551536953,-0.19547451325443493
46,Altore_N399_A11_co_art.txt,MartinuAppinzapalu,-0.8794546719234885,-0.7272367606387595,-0.1844456070461422,-0.19793251079888619
47,Altore_N400_A11_co_art.txt,PetruRocca,-0.754031632327522,-0.6374690249949795,-0.6664371172882743,0.08449074408481372
48,Altore_N401_A11_co_let.txt,L'Orsud'Orezza,-0.7749084906519168,-0.19142302831551727,-0.6517512693703196,-0.3569795424010041
49,Altore_N403_A11_co_art.txt,PetruRocca,-0.9230361945235701,-0.45168392280183745,-1.031688510128705,0.4411129331964252
50,Altore_N404_A11_co_art.txt,PetruRocca,-1.2287897685503573,-0.4096002465265406,-0.20204874271074247,-0.14871110903054785
51,Altore_N405_A11_co_art.txt,PetruRocca,-0.4384369396492254,-0.8612001262628004,-0.9136272231618419,0.23780098583772213
52,Altore_N406_A11_co_let.txt,PetruRocca,-0.4714609538603536,-0.5974646348861022,-0.6973420686181702,-0.19840092077736882
53,Altore_N407_A11_co_art.txt,PetruRocca,-0.9290356004632621,-0.4419068773207639,-0.7670397526342502,0.16950673092902724
54,Altore_N408_A11_co_art.txt,PetruRocca,-0.7750824776179894,-0.45247715124902627,-1.027858421852621,0.2804421403987464
55,Altore_N409_A11_co_let.txt,MartinuAppinzapalu,-0.5998555434832253,-0.4114831397742868,-0.043137971174628975,-0.9271604921769252
56,Altore_N410_A11_co_art.txt,PetruRocca,-1.106500829119372,-0.04643850277357048,-0.8073578717012959,-0.018142103540435106
57,Altore_N411_A11_co_let.txt,PetruRocca,-0.8114329446214315,-0.7545710388614938,-0.41899985334281464,0.0038758434324969726
58,Altore_N412_A11_co_art.txt,MartinuAppinzapalu,-0.9055877878404714,-0.6030269202139877,-0.17773703158481519,-0.29112576783269867
59,Altore_N413_A11_co_art.txt,PetruRocca,-0.7984682980055295,-0.6133479026052274,-0.3737165577354874,-0.19848834505305124
60,Altore_N416_A11_co_let.txt,PetruRocca,-0.5218452647480083,-0.7513542658628791,-0.677336976962138,-0.019026221687361067
61,Altore_N417_A11_co_art.txt,PetruRocca,-0.9291871782468861,-0.28304406641518487,-1.095036954883979,0.3478320841087028
