,filename,author,G.dilaGrotta,L'Orsud'Orezza,MartinuAppinzapalu,P.diB.,PetruRocca
35,Altore_N368_A10_co_let.txt,MartinuAppinzapalu,-0.7382937402052204,-0.20846957716495773,-0.09045585943516471,-1.0601256374949855,-0.8974280779122745
36,Altore_N370_A10_co_art.txt,PetruRocca,-1.4840222428171654,-0.8652108829632468,-0.3192733241094401,-0.584837785519335,0.2568866539292467
37,Altore_N372_A10_co_let.txt,MartinuAppinzapalu,-1.6002948200895797,0.0982706816735337,0.25396481990710856,-0.7377570744178931,-1.0110615023758052
38,Altore_N374_A10_co_let.txt,MartinuAppinzapalu,-0.9005209783803331,-0.8109250553176226,0.506398221427087,-1.5695316498358671,-0.22020888481463685
39,Altore_N375_A10_co_art.txt,P.diB.,-0.6930884026158154,-0.3016929457599351,-1.378586288405438,0.07997953867245533,-0.7037621848834167
40,Altore_N378_A10_co_let.txt,P.diB.,-0.9483610439370759,-0.9020344920300931,-0.25294504234275694,-0.07138876562963259,-0.8214239590302604
41,Altore_N386_A11_co_let.txt,L'Orsud'Orezza,-1.2014037047968495,0.09537811188998413,-0.5130468451711402,-0.7371304380285524,-0.640766192395606
42,Altore_N390_A11_co_art.txt,L'Orsud'Orezza,-0.843721830659842,-0.20728483177756873,-0.37019693508930046,-0.4487256957563466,-1.1272620746346746
43,Altore_N395_A11_co_let.txt,MartinuAppinzapalu,-1.304002164361848,-0.34546391886612426,-0.015077094302097083,-0.670855692879607,-0.6603204149019694
44,Altore_N397_A11_co_art.txt,P.diB.,-0.9609898641336724,-0.8307626090481492,-0.5017219054148363,0.4552750517624673,-1.1583818180513064
45,Altore_N398_A11_co_art.txt,P.diB.,-0.48005169682574306,-0.6881429068808099,-1.1150695345923922,-0.1829519031240613,-0.5313710000300524
46,Altore_N399_A11_co_art.txt,MartinuAppinzapalu,-1.0130529040930552,-0.4851139288043089,-0.2883869505539204,-0.5511933812727238,-0.6586943318812442
47,Altore_N400_A11_co_art.txt,P.diB.,-0.4325833608679079,-0.42269563418909656,-1.33629350266944,-0.1259167473729742,-0.6796149255579997
48,Altore_N401_A11_co_let.txt,MartinuAppinzapalu,-1.190331558853801,-0.2161902870520877,0.058048902270071534,-0.5412039182473982,-1.1069675655498337
49,Altore_N403_A11_co_art.txt,MartinuAppinzapalu,-1.5414000708157634,-0.9349610550256218,0.2988106901929412,-0.8017253549688688,-0.01712352811337614
50,Altore_N404_A11_co_art.txt,L'Orsud'Orezza,-1.350601603366596,0.36404521249600896,-1.4132848240954592,-0.01831008067354878,-0.5791577600614719
51,Altore_N405_A11_co_art.txt,L'Orsud'Orezza,-1.6644746354371787,-0.053128290072043005,-0.7342185364901692,-0.15066164818553407,-0.39383454086517033
52,Altore_N406_A11_co_let.txt,MartinuAppinzapalu,-1.126286786210696,-0.4967796832469401,-0.009325794530397447,-0.7213928783212679,-0.6420801193916986
53,Altore_N407_A11_co_art.txt,L'Orsud'Orezza,-0.6877827835136789,0.08368038388190058,-1.0227731860135916,-0.8023090317146656,-0.5663868888902391
54,Altore_N408_A11_co_art.txt,PetruRocca,-0.7393787464334393,-0.31888687871287763,-0.832780828356638,-0.9238851909555893,-0.18174990560368343
55,Altore_N409_A11_co_let.txt,P.diB.,-0.734539286643217,-0.2457736638232691,-0.22266998699126975,0.11643446519711209,-1.9088586714137081
56,Altore_N410_A11_co_art.txt,L'Orsud'Orezza,-0.9840749894270775,0.5690331179026544,-1.3055227892901127,-0.595223177423747,-0.6794673692490112
57,Altore_N411_A11_co_let.txt,PetruRocca,-1.240936843051747,-0.2789547206586317,-0.5279699865341929,-0.7832741865453738,-0.16735574189022506
58,Altore_N412_A11_co_art.txt,MartinuAppinzapalu,-1.238634796500294,-0.24663106785572853,0.027783713893883066,-0.6877899026393431,-0.8493337929399043
59,Altore_N413_A11_co_art.txt,L'Orsud'Orezza,-0.657067959072758,-0.3123490004486791,-0.6879933085556122,-0.5790708041851781,-0.7588788100690381
60,Altore_N416_A11_co_let.txt,MartinuAppinzapalu,-1.2177715832356824,-0.394974033755523,0.087856920673613,-1.1902842926272936,-0.28145038626162644
61,Altore_N417_A11_co_art.txt,L'Orsud'Orezza,-1.7307395248390107,0.010325924757054739,-0.5157836785160408,-0.20226452789335303,-0.5580346188547394
